<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;60;200306;160000;219.34;221.35;216.82;221.09;10728310
SBER;60;200306;170000;220.98;221.65;218.5;219.69;8135480
SBER;60;200306;180000;219.53;221.1;218.6;219.99;12962330
SBER;60;200310;100000;197.99;204.98;184.86;194.74;37812940
SBER;60;200310;110000;194.71;196.59;187.58;193.48;26943790
SBER;60;200310;120000;193.48;199.46;192.17;198.63;18854020
SBER;60;200310;130000;198.69;209.37;197.1;207.14;36541070
SBER;60;200310;140000;207.14;210.95;205.1;209.91;21565430
SBER;60;200310;150000;209.91;210.34;203.05;206.57;24511230
SBER;60;200310;160000;206.57;212.74;205.95;210.97;19894120
SBER;60;200310;170000;210.92;212.05;202.17;202.39;27089300
SBER;60;200310;180000;202.37;205.5;200.27;201.2;30096780
SBER;60;200311;100000;202.2;204.33;196;202.7;19043520
SBER;60;200311;110000;202.59;202.76;196;201.03;22206800
SBER;60;200311;120000;201.04;201.32;197.83;198.41;14262230
SBER;60;200311;130000;198.41;200.96;198.01;200.23;8682110
SBER;60;200311;140000;200.24;200.77;198.7;199.09;7326440
SBER;60;200311;150000;199.09;199.88;192.72;192.72;18186970
SBER;60;200311;160000;192.74;198.81;192.05;197.36;18752780
SBER;60;200311;170000;197.33;197.78;194.4;195.66;13745810
SBER;60;200311;180000;195.66;195.7;194.3;194.53;15559200
SBER;60;200312;100000;185.17;187.87;180.17;181.86;37245750
SBER;60;200312;110000;181.76;185.9;180.37;181.88;22001830
SBER;60;200312;120000;181.86;183;179.5;180.3;23342720
SBER;60;200312;130000;180.26;181.29;179;179.63;16902270
SBER;60;200312;140000;179.63;181.6;179.04;180.96;13807050
SBER;60;200312;150000;180.88;182.4;179.11;180.6;12386860
SBER;60;200312;160000;180.56;180.65;173.14;177.25;34117130
SBER;60;200312;170000;177.25;178.89;175.64;178.19;17496050
SBER;60;200312;180000;178.13;178.27;175.34;175.91;19862670
SBER;60;200313;100000;175;190.2;174.3;188.23;42946720
SBER;60;200313;110000;188.29;189.4;182.6;184.52;35451170
SBER;60;200313;120000;184.52;188.5;184.34;187.37;20139850
SBER;60;200313;130000;187.27;189.75;186.43;188.98;11731870
SBER;60;200313;140000;188.9;198.58;188.83;197.77;31196940
SBER;60;200313;150000;197.9;199.07;194.01;195.68;27209090
SBER;60;200313;160000;195.68;196.98;192.78;194;32467910
SBER;60;200313;170000;194;199;193.7;198;28902770
SBER;60;200313;180000;198;199.52;197.19;198.6;32571800
SBER;60;200316;100000;194;196.7;186.69;194.9;37719630
SBER;60;200316;110000;194.86;195.45;191.1;192.32;25562280
SBER;60;200316;120000;192.32;194.64;190.51;190.51;15549710
SBER;60;200316;130000;190.59;192.92;190;192.32;11328130
SBER;60;200316;140000;192.38;192.47;187.1;187.13;15179490
SBER;60;200316;150000;187.13;189.68;187.1;187.36;13138600
SBER;60;200316;160000;187.36;191.45;186;190.91;15671360
SBER;60;200316;170000;190.9;196;189.7;194.68;24182650
SBER;60;200316;180000;194.69;196.45;193.24;195.85;15324310
SBER;60;200317;100000;194.92;204.78;194;200.94;27954040
SBER;60;200317;110000;200.93;201.7;187.3;189.44;32344630
SBER;60;200317;120000;189.44;191.59;187.6;188.41;20025450
SBER;60;200317;130000;188.2;191.38;187;190.45;12431240
SBER;60;200317;140000;190.45;191.95;186.1;188.63;25030540
SBER;60;200317;150000;188.63;189.47;186.26;187.91;10470860
SBER;60;200317;160000;187.91;189.14;186.2;186.54;14444360
SBER;60;200317;170000;186.54;187.7;183.8;185.15;23594970
SBER;60;200317;180000;185.15;187.55;184.01;184.01;17306270
SBER;60;200318;100000;178.95;182.2;178.11;178.69;21855170
SBER;60;200318;110000;178.7;180.37;176.44;177.77;18580090
SBER;60;200318;120000;177.76;179.49;176.14;177.48;13359320
SBER;60;200318;130000;177.38;178.5;177;178.05;10024350
SBER;60;200318;140000;178.05;178.15;176.5;177.28;9753510
SBER;60;200318;150000;177.36;177.58;175;175.19;12626320
SBER;60;200318;160000;175.2;177.3;172.15;176.61;28792210
SBER;60;200318;170000;176.58;177.98;175.1;176.53;22873920
SBER;60;200318;180000;176.46;177.48;174.27;174.27;16872080
